Species,State_Abb,Designation,Observations
Costa's Hummingbird,AZ,Tier 1C,8
Bridled Titmouse,AZ,Tier 1C,43
Red-naped Sapsucker,AZ,Tier 1C,14
Louisiana Waterthrush,OK,Tier III,3
Sprague's Pipit,MT,S3B,33
Black-backed Woodpecker,WY,Tier II,3
Brown Creeper,NE,Tier II,1
Black-billed Cuckoo,NE,Tier I,1
Black-backed Woodpecker,SD,3,1
Mountain Plover,WY,Tier I,13
Lewis's Woodpecker,MT,S2B,18
American White Pelican,KS,Tier II,9
Long-billed Curlew,ID,Tier II,91
Red-headed Woodpecker,WY,Tier II,25
Pacific Wren,MT,S3,30
Baltimore Oriole,KS,Tier II,145
Western Kingbird,KS,Tier II,151
Lark Sparrow,KS,Tier II,172
Gila Woodpecker,AZ,Tier 1B,7
Rufous-crowned Sparrow,TX,S4B,29
Baird's Sparrow,ND,Level I,32
Yellow-billed Cuckoo,NE,Tier II,18
Elegant Trogon,AZ,Tier 1B,1
Virginia's Warbler,WY,Tier II,4
Northern Harrier,TX,S2B,4
Northern Harrier,TX,S3N,4
Plumbeous Vireo,NE,Tier II,1
Forster's Tern,MT,S3B,2
White-throated Swift,AZ,Tier 1C,11
Pinyon Jay,NM,Species of Greatest Conservation Need,36
Baird's Sandpiper,KS,Tier II,4
Summer Tanager,AZ,Tier 1C,17
Brown-capped Rosy-Finch,CO,Tier 1,3
Bald Eagle,AZ,Tier 1A,2
Spotted Owl,AZ,Tier 1A,1
Greater Sage-Grouse,UT,S3,2
Orange-crowned Warbler,AZ,Tier 1C,6
Pine Grosbeak,AZ,Tier 1B,2
Field Sparrow,TX,S5B,117
Montezuma Quail,AZ,Tier 1C,20
Bald Eagle,KS,Tier II,2
Nelson's Sparrow,MT,S3B,2
Grace's Warbler,CO,Tier 2,38
White-crowned Sparrow,AZ,Tier 1C,5
Phainopepla,AZ,Tier 1C,6
Loggerhead Shrike,ND,Level II,2
Lewis's Woodpecker,CO,Tier 2,6
Wilson's Phalarope,ND,Level I,4
Burrowing Owl,WY,Tier I,9
Painted Redstart,AZ,Tier 1C,18
Northern Pintail,NE,Tier II,5
Golden Eagle,UT,S4,15
Willet,SD,2b,4
Trumpeter Swan,WY,Tier II,1
Burrowing Owl,ID,Tier II,7
American Kestrel,WY,Tier III,85
Common Nighthawk,AZ,Tier 1B,43
Bell's Vireo,TX,S3B,22
Northern Pygmy-Owl,UT,S3,1
Northern Pygmy-Owl,UT,S4B,1
Black-chinned Sparrow,AZ,Tier 1C,70
Great Blue Heron,MT,S3,16
Short-eared Owl,WY,Tier II,1
Whiskered Screech-Owl,AZ,Tier 1B,3
Common Nighthawk,WY,Tier III,139
Bald Eagle,ND,Level II,2
Mexican Whip-poor-will,AZ,Tier 1C,1
Cassin's Finch,MT,S3,91
Red-headed Woodpecker,TX,S3B,5
American Bittern,ND,Level I,4
White-throated Swift,NE,Tier II,6
Evening Grosbeak,NM,Species of Greatest Conservation Need,2
Black-billed Cuckoo,KS,Tier II,2
Mountain Plover,NE,Tier I,33
Sage Thrasher,MT,S3B,10
Scott's Oriole,AZ,Tier 1C,162
Red-headed Woodpecker,KS,Tier II,75
Thick-billed Longspur,WY,Tier II,100
Ring-billed Gull,ID,Tier III,4
Greater Prairie-Chicken,CO,Tier 2,7
American Kestrel,TX,S4B,11
Dusky Flycatcher,AZ,Tier 1C,72
Harris's Sparrow,TX,S4,2
Red-faced Warbler,AZ,Tier 1C,158
Dusky Grouse,AZ,Tier 1B,1
American White Pelican,WY,Tier II,2
Savannah Sparrow,NE,Tier II,1
Greater Prairie-Chicken,NE,Tier II,11
Eastern Bluebird,AZ,Tier 1B,3
Rufous Hummingbird,WY,Tier II,8
Olive-sided Flycatcher,NM,Species of Greatest Conservation Need,3
Burrowing Owl,SD,3,14
Brown Creeper,MT,S3,46
Gray Vireo,NM,Species of Greatest Conservation Need,1
Gray Vireo,NM,State Threatened,1
Red-headed Woodpecker,MT,S3B,31
Sandhill Crane,CO,Special Concern,7
Sandhill Crane,CO,Tier 1,7
Burrowing Owl,OK,Tier II,9
American Avocet,KS,Tier II,2
Painted Bunting,OK,Tier II,60
Black Rosy-Finch,WY,Tier II,11
Lark Bunting,KS,Tier II,231
Northern Pygmy-Owl,WY,Tier II,1
Dickcissel,WY,Tier II,1
Yellow Warbler,AZ,Tier 1B,6
Vermilion Flycatcher,AZ,Tier 1C,10
Black-throated Gray Warbler,NM,Species of Greatest Conservation Need,90
Lark Bunting,CO,Tier 2,2313
Willow Flycatcher,CO,State Endangered,2
Willow Flycatcher,CO,Tier 1,2
Lark Bunting,SD,2a,166
Northern Harrier,CO,Tier 2,17
Mississippi Kite,TX,S4B,17
Grasshopper Sparrow,ID,Tier III,86
Painted Bunting,KS,Tier II,11
Golden Eagle,ID,Tier II,1
Sharp-tailed Grouse,ND,Level II,16
Cassin's Kingbird,NE,Tier II,17
Flammulated Owl,MT,S3B,1
Western Grebe,ID,Tier II,9
Black-throated Gray Warbler,AZ,Tier 1C,534
Dickcissel,TX,S4B,27
Bushtit,WY,Tier II,1
Yellow-billed Cuckoo,TX,S4,1
Yellow-billed Cuckoo,TX,S5B,1
Red-headed Woodpecker,OK,Tier II,9
American Avocet,ND,Level II,9
Long-billed Curlew,NE,Tier I,14
Purple Martin,AZ,Tier 1B,83
Purple Martin,AZ,Tier 1C,83
Chestnut-collared Longspur,SD,2a,131
Painted Bunting,TX,S4B,190
Willow Flycatcher,WY,Tier III,9
Juniper Titmouse,NM,Species of Greatest Conservation Need,135
Long-billed Curlew,SD,2a,17
Chestnut-collared Longspur,NE,Tier I,35
Mississippi Kite,KS,Tier II,9
Prairie Falcon,NE,Tier II,6
Sagebrush Sparrow,ID,Tier II,55
Veery,MT,S3B,40
Black-billed Magpie,NE,Tier I,11
Merlin,WY,Tier III,1
Juniper Titmouse,WY,Tier II,3
Great Gray Owl,WY,Tier II,1
Brewer's Sparrow,NE,Tier I,10
