Species,BCR,Designation,Observations
Abert's Towhee,33,RS,0
American Avocet,16,RC,0
American Avocet,9,RC,0
American Avocet,9,RS,0
American Bittern,10,RC,0
American Bittern,16,RC,0
American Bittern,9,RC,0
American Coot,11,RS,12
American Coot,9,RC,10
American Dipper,10,RS,7
American Dipper,15,RC,0
American Dipper,16,RC,3
American Dipper,17,RC,0
American Dipper,34,RC,0
American Kestrel,10,RC,104
American Kestrel,16,RC,46
American Kestrel,34,RC,26
American Kestrel,9,RC,19
American Wigeon,17,RC,26
Ash-throated Flycatcher,15,RC,0
American White Pelican,11,RC,8
American White Pelican,11,RS,8
American White Pelican,9,RC,2
Barrow's Goldeneye,10,RC,1
Barrow's Goldeneye,16,RC,0
Baird's Sparrow,10,RC,0
Baird's Sparrow,11,RC,88
Baird's Sparrow,11,RS,88
Baird's Sparrow,17,RC,104
Bank Swallow,11,RC,10
Baltimore Oriole,19,RC,135
Black-billed Cuckoo,11,RC,0
Black-billed Cuckoo,17,RC,5
Black-billed Cuckoo,19,RC,2
Black-billed Magpie,17,RC,236
Black-chinned Hummingbird,34,RC,13
Black-crowned Night-Heron,11,RC,0
Black-crowned Night-Heron,16,RC,0
Black-crowned Night-Heron,9,RC,0
Brown-capped Rosy-Finch,16,RC,3
Brown-capped Rosy-Finch,16,RS,3
Black-chinned Sparrow,34,RC,36
Black-chinned Sparrow,9,RC,33
Black-capped Vireo,19,RC,0
Black-capped Vireo,19,RS,0
Belted Kingfisher,9,RC,0
Bell's Sparrow,33,RS,0
Bendire's Thrasher,16,RC,1
Bendire's Thrasher,33,RC,0
Bendire's Thrasher,33,RS,0
Bendire's Thrasher,34,RC,1
Bendire's Thrasher,9,RC,0
Bell's Vireo,34,RC,3
Bewick's Wren,19,RC,103
Bewick's Wren,34,RC,278
Black Rail,18,RC,0
Black Rail,19,RC,0
Black Rail,33,RC,0
Black Rosy-Finch,10,RC,11
Black Rosy-Finch,10,RS,11
Black Rosy-Finch,16,RC,0
Black Rosy-Finch,9,RC,0
Black Swift,10,RC,1
Black Swift,15,RC,0
Black Swift,16,RC,0
Black Swift,9,RC,0
Black Tern,10,RC,0
Black Tern,11,RC,0
Black Tern,11,RS,0
Black Tern,16,RC,0
Black Tern,18,RC,0
Black Tern,9,RC,0
Bobolink,10,RC,16
Bobolink,11,RS,57
Bobolink,9,RC,0
Brewer's Blackbird,9,RS,72
Brown Creeper,15,RC,5
Brewer's Sparrow,10,RC,6015
Brewer's Sparrow,15,RC,18
Brewer's Sparrow,16,RC,2094
Brewer's Sparrow,17,RC,643
Brewer's Sparrow,9,RC,2277
Brewer's Sparrow,9,RS,2277
Brown Thrasher,11,RC,8
Brown Thrasher,19,RC,41
Bridled Titmouse,34,RS,48
Black-tailed Gnatcatcher,33,RC,2
Black-tailed Gnatcatcher,33,RS,2
Broad-tailed Hummingbird,16,RS,1025
Band-tailed Pigeon,15,RC,0
Band-tailed Pigeon,16,RC,5
Band-tailed Pigeon,34,RC,27
Black-throated Gray Warbler,15,RC,1
Black-throated Gray Warbler,16,RC,1452
Black-throated Gray Warbler,34,RC,327
Black-throated Gray Warbler,9,RC,217
Bullock's Oriole,15,RC,0
Bullock's Oriole,19,RC,149
Bullock's Oriole,33,RC,4
Bullock's Oriole,34,RC,29
Burrowing Owl,17,RC,15
Burrowing Owl,19,RC,2
Blue-winged Teal,11,RS,41
Cassia Crossbill,9,RC,22
Cassia Crossbill,9,RS,22
Cactus Wren,33,RC,62
Cassin's Finch,10,RC,221
Cassin's Finch,10,RS,221
Cassin's Finch,15,RC,24
Cassin's Finch,16,RC,123
Cassin's Finch,9,RS,123
California Gull,15,RC,0
California Gull,9,RS,48
Calliope Hummingbird,10,RS,13
Calliope Hummingbird,9,RS,0
Canvasback,11,RS,3
California Quail,9,RS,50
Cassin's Sparrow,18,RC,1765
Cassin's Sparrow,18,RS,1765
Cassin's Sparrow,19,RC,1421
Caspian Tern,11,RC,1
California Thrasher,15,RC,0
Cassin's Vireo,10,RS,172
Chestnut-collared Longspur,10,RC,0
Chestnut-collared Longspur,11,RC,513
Chestnut-collared Longspur,11,RS,513
Chestnut-collared Longspur,17,RC,412
Chestnut-collared Longspur,18,RC,121
Clay-colored Sparrow,11,RS,112
Chipping Sparrow,10,RC,2437
Chimney Swift,19,RC,8
Cinnamon Teal,10,RC,8
