stratum,n,reason
ND-BCR17-RG,1,Understaffed
CO-BCR16-GJ,2,Lack of landowner permission; terrain
MT-BCR17-BL,1,Understaffed
ND-BCR17-BM,1,Lack of landowner permission; understaffed
SD-BCR17-BM,1,Dishonest technician
WY-BCR10-WO,1,Impassable roads
UT-BCR9-UT,1,
SD-BCR17-MR,2,Dishonest technician
NE-NGPIM-NI,1,Understaffed
MT-BCR10-ON,1,Understaffed
UT-BCR9-AO,6,Lack of landowner permission/permits; weather; decreased sampling effort
UT-BCR10-AO,2,Lack of landowner permission/permits; weather; decreased sampling effort
UT-BCR16-AO,6,Lack of landowner permission/permits; weather; decreased sampling effort
UT-BCR33-AO,2,Lack of landowner permission/permits; weather; decreased sampling effort
WY-BCR16-AO,1,Lack of landowner permission
